Name,Short Name,Location,Location ID,Color,Livery,Political Attributes,Team Bio,Rival,Pressure,Budget,Race Payment Offset,Marketability,Fan Base,Share of Fanbase,Driver HatStyle,Driver BodyStyle,Expectation - Constructors' ,Expectation - Driver 1,Expectation - Driver 2,Opinions - Manager,Opinions - Driver 1,Opinions - Driver 2,Team Start Description,Custom Start Description,Aggression
Steinmann Motorsport,Steinmann,Germany,PSG_10000948,1,11,Traditionalist,Motorsport Giants - Part of a large company and have been around a long time to build up a winning team and budget. More traditional thinking.,5,2,0,,1,0.1,1,0,0,8,15,16,100,100,100,PSG_10007835,Blank Slate!,0.5
Panther Race Team,Panther,UK,PSG_10001069,2,12,Progressive,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",5,2,0,,1,0.1,1,1,1,8,15,16,100,100,100,PSG_10007836,Blank Slate!,0.5
Windsor Racing,Windsor,UK,PSG_10001069,3,9,Progressive,Strong Heritage - Private team focussed on Motorsport who have been fighting in WMC for a long time and built up good knowledge and a decent team even with financial struggles. Political view tend to swing based on current financial situation.,6,2,0,,1,0.1,1,2,2,8,15,16,100,100,100,PSG_10007837,Blank Slate!,0.5
Scuderia Rossini,Rossini,Italy,PSG_10000966,4,15,Traditionalist,Motorsport Giants - Part of a large company and have been around a long time to build up a winning team and budget. More traditional thinking.,2,2,0,,1,0.1,1,0,3,8,15,16,100,100,100,PSG_10007838,Blank Slate!,0.5
Kitano Sport,Kitano,Japan,PSG_10000969,5,13,Traditionalist,Strong Heritage - Private team focussed on Motorsport who have been fighting in WMC for a long time and built up good knowledge and a decent team even with financial struggles. Political view tend to swing based on current financial situation.,3,2,0,,1,0.1,1,4,7,8,15,16,100,100,100,PSG_10007839,Blank Slate!,0.5
Van Dort Racing,Van Dort,UK,PSG_10001069,6,28,Egalitarian,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",8,2,0,,1,0.1,1,5,5,8,15,16,100,100,100,PSG_10007840,Blank Slate!,0.5
Rezzato Corsa,Rezzato,Italy,PSG_10000966,7,10,Progressive,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",7,2,0,,1,0.1,1,6,6,8,15,16,100,100,100,PSG_10007841,Blank Slate!,0.5
Thornton Motorsport,Thornton,UK,PSG_10001069,8,14,Gimmicky,Strong Heritage - Private team focussed on Motorsport who have been fighting in WMC for a long time and built up good knowledge and a decent team even with financial struggles. Political view tend to swing based on current financial situation.,8,2,0,,1,0.1,1,7,7,8,15,16,100,100,100,PSG_10007842,Blank Slate!,0.5
Vélan Racing,Vélan,Switzerland,PSG_10001054,9,22,Traditionalist,"Fallen Giant - A team who was once a great WMC but due to varying circumstances (Finances, staff changes, losign drivers) have fallen from the peak of competition or even down into the lower tiers.",9,2,0,,1,0.1,1,8,8,10,19,20,100,100,100,PSG_10007843,Blank Slate!,0.5
Chariot Motor Group,Chariot,UK,PSG_10001069,10,8,Egalitarian,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,10,2,0,,1,0.1,1,9,9,10,19,20,100,100,100,PSG_10007844,Blank Slate!,0.5
Boa Esperança,Boa,Portugal,PSG_10001023,11,16,Traditionalist,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",13,2,0,,1,0.1,1,10,10,10,19,20,100,100,100,PSG_10007845,Blank Slate!,0.5
MacNeil Racing Team,MacNeil,UnitedStates,PSG_10001070,12,17,Progressive,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",14,2,0,,1,0.1,1,0,0,10,19,20,100,100,100,PSG_10007846,Blank Slate!,0.5
Espirit GP,Espirit,France,PSG_10000944,13,20,Progressive,Strong Heritage - Private team focussed on Motorsport who have been fighting in WMC for a long time and built up good knowledge and a decent team even with financial struggles. Political view tend to swing based on current financial situation.,12,2,0,,1,0.1,1,10,1,10,19,20,100,100,100,PSG_10007847,Blank Slate!,0.5
MRT Valbuena,Valbuena,Spain,PSG_10001048,14,19,Traditionalist,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",12,2,0,,1,0.1,1,4,2,10,19,20,100,100,100,PSG_10007848,Blank Slate!,0.5
Team Kirov,Kirov,RussianFederation,PSG_10001026,15,20,Traditionalist,"Fallen Giant - A team who was once a great WMC but due to varying circumstances (Finances, staff changes, losign drivers) have fallen from the peak of competition or even down into the lower tiers.",14,2,0,,1,0.1,1,14,3,10,19,20,100,100,100,PSG_10007849,Blank Slate!,0.5
Lucatelli Racing,Lucatelli,Italy,PSG_10000966,16,21,Egalitarian,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,15,2,0,,1,0.1,1,15,4,10,19,20,100,100,100,PSG_10007850,Blank Slate!,0.5
Ruiz Motorsport,Ruiz,Mexico,PSG_10000996,17,19,Progressive,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",19,2,0,,1,0.1,1,16,5,10,19,20,100,100,100,PSG_10007851,Blank Slate!,0.5
Ozu Motor Team,Ozu,Japan,PSG_10000969,18,25,Gimmicky,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,18,2,0,,1,0.1,1,0,6,10,19,20,100,100,100,PSG_10007852,Blank Slate!,0.5
Zampelli Engineering,Zampelli,Italy,PSG_10000966,19,19,Traditionalist,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,21,2,0,,1,0.1,1,18,7,12,21,22,100,100,100,PSG_10007853,Blank Slate!,0.5
